Date	Time	Set Temp [K]	Set Freq [Hz]	Duty Cycle [%]	Pulse Period [ms]	P_forw (giga)	P_refl (giga)	P_trans (giga)	CW Power (Tek)	Pulse Power (Tek)	Peak Power (Tek)	DC meas [%] (Tek)	P_trans for calc	Freq. (meas.) [Hz]	Q_FPC	Q_Probe	c1	c2	Heater Resistance [Ohm]	Ref. Voltage	Heater Voltage	Heater Power [mW]	P_diss [mW]	Peak Field on Sample [mT]	Surface Resistance [nOhm]	LS336 A [K]	LS336 B [K]	LS336 C [K]	LS336 D [K]	Magnetic Field [uT]	PLL Attenuator [dB]	PLL Phase [deg]	Keysight forw [dBm]	Keysight refl [dBm]	Keysight trans [dBm]	DC current [mA]	DC Ref current [mA]	Freq Hameg [Hz]
2022/09/01	16:41:42	3.500000000E+0	4.158880000E+8	1.000000000E+2	1.330000000E+2	NaN	NaN	NaN	-6.000000000E+1	-6.000000000E+1	-6.000000000E+1	1.000000000E+0	-6.799146300E+0	4.000000000E+8	1.000000000E+6	4.580000000E+10	1.217290000E+3	1.095100000E-1	1.000000000E+2	2.203242756E+0	2.072534280E+0	3.605728169E+1	4.719163793E+0	2.002738214E+1	4.523937920E+1	0.000000000E+0	3.500300000E+0	0.000000000E+0	0.000000000E+0	1.350300000E+1	1.130000000E+1	2.400000000E+2	2.760975560E+1	2.686751200E+1	-6.796993330E+0	1.741519290E+1	1.850746831E+1	4.158913980E+8
2022/09/01	16:41:46	3.500000000E+0	4.158880000E+8	1.000000000E+2	1.330000000E+2	NaN	NaN	NaN	-6.000000000E+1	-6.000000000E+1	-6.000000000E+1	1.000000000E+0	-6.797498620E+0	4.000000000E+8	1.000000000E+6	4.580000000E+10	1.217290000E+3	1.095100000E-1	1.000000000E+2	2.203242756E+0	2.071074850E+0	3.605811027E+1	4.718335205E+0	2.002943825E+1	4.522620363E+1	0.000000000E+0	3.500100000E+0	0.000000000E+0	0.000000000E+0	1.353700000E+1	1.130000000E+1	2.400000000E+2	2.761016270E+1	2.686719280E+1	-6.797498620E+0	1.739879620E+1	1.850746831E+1	4.158913910E+8
2022/09/01	16:41:50	3.500000000E+0	4.158880000E+8	1.000000000E+2	1.330000000E+2	NaN	NaN	NaN	-6.000000000E+1	-6.000000000E+1	-6.000000000E+1	1.000000000E+0	-6.794763710E+0	4.000000000E+8	1.000000000E+6	4.580000000E+10	1.217290000E+3	1.095100000E-1	1.000000000E+2	2.203242756E+0	2.070917300E+0	3.605862134E+1	4.717824141E+0	2.003393268E+1	4.522027095E+1	0.000000000E+0	3.500100000E+0	0.000000000E+0	0.000000000E+0	1.351100000E+1	1.130000000E+1	2.400000000E+2	2.760950330E+1	2.686566200E+1	-6.794763710E+0	1.739277390E+1	1.850746831E+1	NaN
2022/09/01	16:41:55	3.500000000E+0	4.158880000E+8	1.000000000E+2	1.330000000E+2	NaN	NaN	NaN	-6.000000000E+1	-6.000000000E+1	-6.000000000E+1	1.000000000E+0	-6.796395320E+0	4.000000000E+8	1.000000000E+6	4.580000000E+10	1.217290000E+3	1.095100000E-1	1.000000000E+2	2.203242756E+0	2.072873620E+0	3.606131395E+1	4.715131529E+0	2.003372618E+1	4.519549668E+1	0.000000000E+0	3.500100000E+0	0.000000000E+0	0.000000000E+0	1.355500000E+1	1.130000000E+1	2.400000000E+2	2.760933890E+1	2.686682480E+1	-6.796395320E+0	1.740842550E+1	1.850746831E+1	4.158913930E+8
2022/09/01	16:45:25	3.500000000E+0	4.158880000E+8	1.000000000E+2	1.330000000E+2	NaN	NaN	NaN	-6.000000000E+1	-6.000000000E+1	-6.000000000E+1	1.000000000E+0	-3.324843380E+0	4.000000000E+8	1.000000000E+6	4.580000000E+10	1.217290000E+3	1.095100000E-1	1.000000000E+2	2.203242756E+0	1.853241110E+0	2.881637027E+1	1.196007521E+1	2.987716122E+1	5.142835021E+1	0.000000000E+0	3.499900000E+0	0.000000000E+0	0.000000000E+0	1.361800000E+1	8.300000000E+0	2.400000000E+2	3.085038050E+1	2.998072390E+1	-3.324843380E+0	1.557726280E+1	1.850746831E+1	4.158906040E+8
2022/09/01	16:45:27	3.500000000E+0	4.158880000E+8	1.000000000E+2	1.330000000E+2	NaN	NaN	NaN	-6.000000000E+1	-6.000000000E+1	-6.000000000E+1	1.000000000E+0	-3.319510180E+0	4.000000000E+8	1.000000000E+6	4.580000000E+10	1.217290000E+3	1.095100000E-1	1.000000000E+2	2.203242756E+0	1.855654260E+0	2.881999626E+1	1.195644922E+1	2.989551165E+1	5.141449506E+1	0.000000000E+0	3.499700000E+0	0.000000000E+0	0.000000000E+0	1.361600000E+1	8.300000000E+0	2.400000000E+2	3.084942040E+1	2.998180730E+1	-3.319510180E+0	1.558468640E+1	1.850746831E+1	4.158905980E+8
2022/09/01	16:45:32	3.500000000E+0	4.158880000E+8	1.000000000E+2	1.330000000E+2	NaN	NaN	NaN	-6.000000000E+1	-6.000000000E+1	-6.000000000E+1	1.000000000E+0	-3.317201320E+0	4.000000000E+8	1.000000000E+6	4.580000000E+10	1.217290000E+3	1.095100000E-1	1.000000000E+2	2.203242756E+0	1.854163430E+0	2.883795386E+1	1.193849162E+1	2.990345945E+1	5.133480410E+1	0.000000000E+0	3.499900000E+0	0.000000000E+0	0.000000000E+0	1.361300000E+1	8.300000000E+0	2.400000000E+2	3.084903400E+1	2.997900030E+1	-3.318116790E+0	1.558344340E+1	1.850746831E+1	NaN
2022/09/01	16:46:18	3.500000000E+0	4.158880000E+8	1.000000000E+2	1.330000000E+2	NaN	NaN	NaN	-6.000000000E+1	-6.000000000E+1	-6.000000000E+1	1.000000000E+0	-3.335815500E+0	4.000000000E+8	1.000000000E+6	4.580000000E+10	1.217290000E+3	1.095100000E-1	1.000000000E+2	2.203242756E+0	1.862467560E+0	2.913031083E+1	1.164613465E+1	2.983944386E+1	5.020822843E+1	0.000000000E+0	3.500100000E+0	0.000000000E+0	0.000000000E+0	1.353300000E+1	8.300000000E+0	2.400000000E+2	3.085008180E+1	2.998469220E+1	-3.335815500E+0	1.565034870E+1	1.850746831E+1	4.158907260E+8
2022/09/01	16:46:20	3.500000000E+0	4.158880000E+8	1.000000000E+2	1.330000000E+2	NaN	NaN	NaN	-6.000000000E+1	-6.000000000E+1	-6.000000000E+1	1.000000000E+0	-3.335977220E+0	4.000000000E+8	1.000000000E+6	4.580000000E+10	1.217290000E+3	1.095100000E-1	1.000000000E+2	2.203242756E+0	1.862092590E+0	2.914264082E+1	1.163380466E+1	2.983888829E+1	5.016706447E+1	0.000000000E+0	3.500000000E+0	0.000000000E+0	0.000000000E+0	1.362600000E+1	8.300000000E+0	2.400000000E+2	3.084960820E+1	2.998465230E+1	-3.335977220E+0	1.564471950E+1	1.850746831E+1	4.158907260E+8
2022/09/01	16:48:34	3.500000000E+0	4.158880000E+8	1.000000000E+2	1.330000000E+2	NaN	NaN	NaN	-6.000000000E+1	-6.000000000E+1	-6.000000000E+1	1.000000000E+0	-6.261888020E-1	4.000000000E+8	1.000000000E+6	4.580000000E+10	1.217290000E+3	1.095100000E-1	1.000000000E+2	2.203242756E+0	1.338234420E+0	1.495813319E+1	2.581831229E+1	4.076355571E+1	5.972002897E+1	0.000000000E+0	3.499400000E+0	0.000000000E+0	0.000000000E+0	1.350400000E+1	6.600000000E+0	2.400000000E+2	3.334835530E+1	3.239110980E+1	-6.276183060E-1	1.124386630E+1	1.850746831E+1	4.158895240E+8
